dewPointC,dewPointC_Rmean=2,dewPointC_Rmean=3,dewPointC_Rmean=4,dewPointC_Rmean=8,dewPointC_Rmean=12,dewPointC_Rmean=24,dewPointC_Rmean=32,dewPointC_Rmean=48,dewPointC_Rmean=96,Expanding Mean 2 dewPointC,Expanding Mean 3 dewPointC,Expanding Mean 4 dewPointC,Expanding Mean 8 dewPointC,Expanding Mean 12 dewPointC,Expanding Mean 16 dewPointC,Expanding Mean 24 dewPointC,Expanding Mean 48 dewPointC,Expanding Mean 96 dewPointC
1.0,0.9818253783286088,0.9588906452672786,0.9297792885924968,0.7689381315964644,0.598726968271135,0.19307026114112544,0.0909885542811069,0.33188839334431514,0.36676764698243386,0.9999871611556768,0.9940216194589185,0.999775320409752,0.9849916456993287,0.961583819206216,0.9571593974285757,0.9126840942460718,0.7808186099996413,0.6811723107708807
0.9818253783286088,1.0,0.9839483499651218,0.9624292618042187,0.8193755825060818,0.6474681012356875,0.22186616260208583,0.09913284265644513,0.3102390499304895,0.3713162523520138,0.9822530140942713,0.989661178749005,0.9825788835867183,0.983478473793136,0.9721189289253671,0.9679197917892557,0.9355508377896627,0.8132924032182827,0.7177314606636377
0.9588906452672786,0.9839483499651218,1.0,0.9855402594117574,0.868899065361825,0.6962410081868782,0.2526709125643516,0.1094516841492898,0.28864337781353927,0.37520800374407237,0.9594026971944994,0.9697375437523154,0.9610928545821993,0.9777866682930768,0.9781959955854982,0.9736675677297552,0.9526060466647747,0.8416808077875043,0.7505232242557252
0.9297792885924968,0.9624292618042187,0.9855402594117574,1.0,0.9095307688448149,0.746293915325368,0.2857175906920854,0.12233319270963493,0.2684344283922869,0.3789568075256144,0.9306135535773543,0.9436467435983321,0.9334923651438911,0.9566070394433951,0.9710684199876756,0.966615443588207,0.9601893045398338,0.8652992159403978,0.779279342641399
0.7689381315964644,0.8193755825060818,0.868899065361825,0.9095307688448149,1.0,0.9215428521098935,0.4389350072780672,0.20261927481245348,0.20664540075875504,0.3934227895598449,0.7697944432452444,0.7880514441700168,0.7727792650361486,0.8175653304124161,0.8555327134881112,0.8674976599932773,0.9158659602866692,0.9154692303747839,0.8563061948515651
0.598726968271135,0.6474681012356875,0.6962410081868782,0.746293915325368,0.9215428521098935,1.0,0.6219538447669305,0.32727266306730307,0.17851508550176365,0.4060480545208436,0.5995920687357125,0.6151639158678233,0.6026752505652125,0.6453764412287172,0.685063441662776,0.7099240656154948,0.7949501877617312,0.8913348179976687,0.8654027194138678
0.19307026114112544,0.22186616260208583,0.2526709125643516,0.2857175906920854,0.4389350072780672,0.6219538447669305,1.0,0.8380476090049896,0.33007810695238476,0.4365198866940007,0.19359246235924332,0.2020651592588611,0.19548347458196225,0.22533526550502833,0.24374340503312883,0.26999366299042116,0.3568448327957198,0.5275200584732944,0.6178991993906006
0.0909885542811069,0.09913284265644513,0.1094516841492898,0.12233319270963493,0.20261927481245348,0.32727266306730307,0.8380476090049896,1.0,0.6139303134247962,0.461257114225178,0.09110201333547184,0.0922369729653206,0.09155523234424275,0.10272390883827365,0.10397730901184647,0.1249703720791436,0.18894572669285586,0.2901631636124296,0.42397676942798407
0.33188839334431514,0.3102390499304895,0.28864337781353927,0.2684344283922869,0.20664540075875504,0.17851508550176365,0.33007810695238476,0.6139303134247962,1.0,0.5631218188539956,0.331398382531589,0.3225376885246572,0.3297068381687503,0.31383894278173063,0.289027149645657,0.30042533074543826,0.27486325114347665,0.2318169506921712,0.2986493912482117
0.36676764698243386,0.3713162523520138,0.37520800374407237,0.3789568075256144,0.3934227895598449,0.4060480545208436,0.4365198866940007,0.461257114225178,0.5631218188539956,1.0,0.3668081589868016,0.36770041262407666,0.36696295512466115,0.37210826223030313,0.37196623794109485,0.38694601216588986,0.402834172362788,0.4220675421353004,0.3972150679672427
0.9999871611556768,0.9822530140942713,0.9594026971944994,0.9306135535773543,0.7697944432452444,0.5995920687357125,0.19359246235924332,0.09110201333547184,0.331398382531589,0.3668081589868016,1.0,0.994065094123703,0.99983951652699,0.9851695546405229,0.9619744708284088,0.9575194998838379,0.9132310466164654,0.7814504011811564,0.6818661231049798
0.9940216194589185,0.989661178749005,0.9697375437523154,0.9436467435983321,0.7880514441700168,0.6151639158678233,0.2020651592588611,0.0922369729653206,0.3225376885246572,0.36770041262407666,0.994065094123703,1.0,0.9940337728278962,0.9867548623091085,0.9715578099534589,0.9639960565832375,0.9243625352295697,0.7934176430746146,0.6944427337713098
0.999775320409752,0.9825788835867183,0.9610928545821993,0.9334923651438911,0.7727792650361486,0.6026752505652125,0.19548347458196225,0.09155523234424275,0.3297068381687503,0.36696295512466115,0.99983951652699,0.9940337728278962,1.0,0.9857542841883116,0.9632735131730273,0.9587171139161645,0.9150602599207875,0.7836210306983988,0.6842522011082665
0.9849916456993287,0.983478473793136,0.9777866682930768,0.9566070394433951,0.8175653304124161,0.6453764412287172,0.22533526550502833,0.10272390883827365,0.31383894278173063,0.37210826223030313,0.9851695546405229,0.9867548623091085,0.9857542841883116,1.0,0.9720611954528213,0.9772905766365731,0.937945506615897,0.8142423083856829,0.7167888319920536
0.961583819206216,0.9721189289253671,0.9781959955854982,0.9710684199876756,0.8555327134881112,0.685063441662776,0.24374340503312883,0.10397730901184647,0.289027149645657,0.37196623794109485,0.9619744708284088,0.9715578099534589,0.9632735131730273,0.9720611954528213,1.0,0.9683559781364476,0.9573704624990121,0.8358859570989412,0.7398827944470293
0.9571593974285757,0.9679197917892557,0.9736675677297552,0.966615443588207,0.8674976599932773,0.7099240656154948,0.26999366299042116,0.1249703720791436,0.30042533074543826,0.38694601216588986,0.9575194998838379,0.9639960565832375,0.9587171139161645,0.9772905766365731,0.9683559781364476,1.0,0.9542045473433696,0.8525739854961422,0.7589917643193187
0.9126840942460718,0.9355508377896627,0.9526060466647747,0.9601893045398338,0.9158659602866692,0.7949501877617312,0.3568448327957198,0.18894572669285586,0.27486325114347665,0.402834172362788,0.9132310466164654,0.9243625352295697,0.9150602599207875,0.937945506615897,0.9573704624990121,0.9542045473433696,1.0,0.9224640489046065,0.825911614918508
0.7808186099996413,0.8132924032182827,0.8416808077875043,0.8652992159403978,0.9154692303747839,0.8913348179976687,0.5275200584732944,0.2901631636124296,0.2318169506921712,0.4220675421353004,0.7814504011811564,0.7934176430746146,0.7836210306983988,0.8142423083856829,0.8358859570989412,0.8525739854961422,0.9224640489046065,1.0,0.9043110512812166
0.6811723107708807,0.7177314606636377,0.7505232242557252,0.779279342641399,0.8563061948515651,0.8654027194138678,0.6178991993906006,0.42397676942798407,0.2986493912482117,0.3972150679672427,0.6818661231049798,0.6944427337713098,0.6842522011082665,0.7167888319920536,0.7398827944470293,0.7589917643193187,0.825911614918508,0.9043110512812166,1.0
