heatIndexC,heatIndexC_Rmean=2,heatIndexC_Rmean=3,heatIndexC_Rmean=4,heatIndexC_Rmean=8,heatIndexC_Rmean=12,heatIndexC_Rmean=24,heatIndexC_Rmean=32,heatIndexC_Rmean=48,heatIndexC_Rmean=96,Expanding Mean 2 heatIndexC,Expanding Mean 3 heatIndexC,Expanding Mean 4 heatIndexC,Expanding Mean 8 heatIndexC,Expanding Mean 12 heatIndexC,Expanding Mean 16 heatIndexC,Expanding Mean 24 heatIndexC,Expanding Mean 48 heatIndexC,Expanding Mean 96 heatIndexC
1.0,0.9943468069542294,0.9798841209768,0.9570569191842014,0.7943705140490193,0.5432366034570797,-0.3254893203762569,-0.5897677990787612,0.0971920724038254,0.25403557540923044,0.9997798628341618,0.9988560067252616,0.998278409679902,0.9906344437439569,0.9778962071323675,0.967285132012642,0.9243080406935579,0.6785879750624748,0.6113232848407559
0.9943468069542294,1.0,0.9943218807119198,0.980056301026253,0.8454073900243054,0.6132988309125484,-0.2621419628784208,-0.5765219240992853,0.03152143964927144,0.2574170001849467,0.9954646527471834,0.9968773279321714,0.9969658388917388,0.9960244917656688,0.9897672906243196,0.9825442426503328,0.9485634457467792,0.7321170518082863,0.6648418439707571
0.9798841209768,0.9943218807119198,1.0,0.9948081344538111,0.8904607354605414,0.6797795042245798,-0.19330834416457646,-0.554042627897473,-0.03089299353188493,0.26197834359027283,0.9820720601143401,0.985487489678878,0.9864719602307395,0.9933817778402941,0.9928377115185619,0.9892853644275098,0.9658955549520712,0.7806402499730435,0.7148623717097258
0.9570569191842014,0.980056301026253,0.9948081344538111,1.0,0.9283819130626373,0.7410432204628848,-0.12445022497794468,-0.5295204198171237,-0.09517647245126602,0.2618674269290351,0.960279277602095,0.965493521640845,0.9671075704893448,0.9814236962170301,0.9863621625574963,0.9866343640521755,0.9750440481851325,0.8232904091036968,0.7587773434624252
0.7943705140490193,0.8454073900243054,0.8904607354605414,0.9283819130626373,1.0,0.9308354003097596,0.18110202649672208,-0.3571129314575255,-0.3129225436731527,0.2708869799403477,0.8010071054633622,0.8120133550782902,0.8161067564897411,0.8533967118048928,0.8781129905078706,0.8952596853370943,0.9378586982500745,0.9387534890118497,0.8888807251542561
0.5432366034570797,0.6132988309125484,0.6797795042245798,0.7410432204628848,0.9308354003097596,1.0,0.49043028727783616,-0.10037645057386965,-0.4535395933288352,0.2810472844352496,0.5520470131629053,0.566994499890069,0.5727949440509732,0.6256962546675663,0.6641253673911048,0.6971622325858687,0.7859906525407797,0.935853519480536,0.9158289273873437
-0.3254893203762569,-0.2621419628784208,-0.19330834416457646,-0.12445022497794468,0.18110202649672208,0.49043028727783616,1.0,0.7666172530005593,-0.2555073860785769,0.3213686871885075,-0.318376441790574,-0.3048407614193977,-0.29961998445296883,-0.24868940786193378,-0.2066713316985798,-0.16105916695602687,-0.051984127583772466,0.2968577799049682,0.43927783700218137
-0.5897677990787612,-0.5765219240992853,-0.554042627897473,-0.5295204198171237,-0.3571129314575255,-0.10037645057386965,0.7666172530005593,1.0,0.2744732412245105,0.3555033160125768,-0.5891471307603187,-0.5863525783954675,-0.5853963150487599,-0.5710150639444608,-0.5583405156844778,-0.5301994359958351,-0.4821459388838246,-0.24450710489111596,-0.043573648780676454
0.0971920724038254,0.03152143964927144,-0.03089299353188493,-0.09517647245126602,-0.3129225436731527,-0.4535395933288352,-0.2555073860785769,0.2744732412245105,1.0,0.4572806308334764,0.08859425896080123,0.0744394747311967,0.06879662776213862,0.020312335785135655,-0.022644211044150736,-0.04312456713509022,-0.1378695031713852,-0.3705152927287399,-0.2811126603832084
0.25403557540923044,0.2574170001849467,0.26197834359027283,0.2618674269290351,0.2708869799403477,0.2810472844352496,0.3213686871885075,0.3555033160125768,0.4572806308334764,1.0,0.25384454828492486,0.2543810591493518,0.2545988730230791,0.25786036592937833,0.25669694118341263,0.2689883170254932,0.27094424434147235,0.27109243920919,0.3862447097652732
0.9997798628341618,0.9954646527471834,0.9820720601143401,0.960279277602095,0.8010071054633622,0.5520470131629053,-0.318376441790574,-0.5891471307603187,0.08859425896080123,0.25384454828492486,1.0,0.9990907030240476,0.9989385652460032,0.9919361983202529,0.9802052655751252,0.969902891096449,0.9275645186203947,0.6854703815204498,0.6179381759369723
0.9988560067252616,0.9968773279321714,0.985487489678878,0.965493521640845,0.8120133550782902,0.566994499890069,-0.3048407614193977,-0.5863525783954675,0.0744394747311967,0.2543810591493518,0.9990907030240476,1.0,0.9986815619651157,0.9930307335336929,0.9837098118324304,0.9731527445668157,0.933448762534348,0.697399557342813,0.6298326723746809
0.998278409679902,0.9969658388917388,0.9864719602307395,0.9671075704893448,0.8161067564897411,0.5727949440509732,-0.29961998445296883,-0.5853963150487599,0.06879662776213862,0.2545988730230791,0.9989385652460032,0.9986815619651157,1.0,0.9944666985747591,0.9849341858662128,0.9754593549408146,0.9350549783010644,0.7016564766542721,0.6340252005205449
0.9906344437439569,0.9960244917656688,0.9933817778402941,0.9814236962170301,0.8533967118048928,0.6256962546675663,-0.24868940786193378,-0.5710150639444608,0.020312335785135655,0.25786036592937833,0.9919361983202529,0.9930307335336929,0.9944666985747591,1.0,0.9885393618139345,0.9880617681123848,0.9543771661377523,0.744222288919739,0.6765923084284421
0.9778962071323675,0.9897672906243196,0.9928377115185619,0.9863621625574963,0.8781129905078706,0.6641253673911048,-0.2066713316985798,-0.5583405156844778,-0.022644211044150736,0.25669694118341263,0.9802052655751252,0.9837098118324304,0.9849341858662128,0.9885393618139345,1.0,0.9813804723107599,0.9641860860277852,0.7730238440753283,0.7047755211186657
0.967285132012642,0.9825442426503328,0.9892853644275098,0.9866343640521755,0.8952596853370943,0.6971622325858687,-0.16105916695602687,-0.5301994359958351,-0.04312456713509022,0.2689883170254932,0.969902891096449,0.9731527445668157,0.9754593549408146,0.9880617681123848,0.9813804723107599,1.0,0.9662993539523612,0.8047294411477726,0.739324471127621
0.9243080406935579,0.9485634457467792,0.9658955549520712,0.9750440481851325,0.9378586982500745,0.7859906525407797,-0.051984127583772466,-0.4821459388838246,-0.1378695031713852,0.27094424434147235,0.9275645186203947,0.933448762534348,0.9350549783010644,0.9543771661377523,0.9641860860277852,0.9662993539523612,1.0,0.886900177831144,0.8190484667181761
0.6785879750624748,0.7321170518082863,0.7806402499730435,0.8232904091036968,0.9387534890118497,0.935853519480536,0.2968577799049682,-0.24450710489111596,-0.3705152927287399,0.27109243920919,0.6854703815204498,0.697399557342813,0.7016564766542721,0.744222288919739,0.7730238440753283,0.8047294411477726,0.886900177831144,1.0,0.9424854250492275
0.6113232848407559,0.6648418439707571,0.7148623717097258,0.7587773434624252,0.8888807251542561,0.9158289273873437,0.43927783700218137,-0.043573648780676454,-0.2811126603832084,0.3862447097652732,0.6179381759369723,0.6298326723746809,0.6340252005205449,0.6765923084284421,0.7047755211186657,0.739324471127621,0.8190484667181761,0.9424854250492275,1.0
