windGustMiles,windGustMiles_Rmean=2,windGustMiles_Rmean=3,windGustMiles_Rmean=4,windGustMiles_Rmean=8,windGustMiles_Rmean=12,windGustMiles_Rmean=24,windGustMiles_Rmean=32,windGustMiles_Rmean=48,windGustMiles_Rmean=96,Expanding Mean 2 windGustMiles,Expanding Mean 3 windGustMiles,Expanding Mean 4 windGustMiles,Expanding Mean 8 windGustMiles,Expanding Mean 12 windGustMiles,Expanding Mean 16 windGustMiles,Expanding Mean 24 windGustMiles,Expanding Mean 48 windGustMiles,Expanding Mean 96 windGustMiles
1.0,0.9943233113619061,0.9849695725938118,0.9706557358646057,0.8725079554605246,0.7347180486049486,0.34409816693031525,0.2382625898876518,0.4693530379686341,0.43086249118885417,0.9999732589293844,0.9987512199030649,0.9992596378751606,0.9936178049573069,0.9847720582482652,0.9758858114893504,0.9519568180206256,0.9037724687725295,0.7949925448040562
0.9943233113619061,1.0,0.9952666177905999,0.9846064925315858,0.901796039786125,0.7717790341862517,0.3691947708528578,0.24260547153062673,0.446190122088932,0.43116589247566706,0.9947080618517495,0.9962010291128047,0.995122695552241,0.9948685825627899,0.990908218336043,0.9848283452186238,0.9662984373700971,0.9213919282230186,0.8157204666783389
0.9849695725938118,0.9952666177905999,1.0,0.9945932463380263,0.9294942849517396,0.8086680858644647,0.3985052860612343,0.2530070398116551,0.42712049568275173,0.43716557510232074,0.9855714720368643,0.9886585400613885,0.9873839532425968,0.9928337253746075,0.9936624180298734,0.9905100314493352,0.9775386728705817,0.9369854495446492,0.8356996040649075
0.9706557358646057,0.9846064925315858,0.9945932463380263,1.0,0.9539662578022164,0.8444802507473784,0.43110135818533973,0.26790834674599356,0.4092022867612387,0.4435746632624786,0.9715322839899054,0.9762929493993029,0.9743172213300975,0.9842721476973144,0.9896438140095006,0.989804067688624,0.9828350347134741,0.9482018712284954,0.8544106253488658
0.8725079554605246,0.901796039786125,0.9294942849517396,0.9539662578022164,1.0,0.9570577939295911,0.5708034606658844,0.3436561959710207,0.34156449284597823,0.4617333510845554,0.8740778789226712,0.8827046878670491,0.8794594085684951,0.9037700739534461,0.9220934282630379,0.9364898068948293,0.9526932980666184,0.9473262207793839,0.8972276674971718
0.7347180486049486,0.7717790341862517,0.8086680858644647,0.8444802507473784,0.9570577939295911,1.0,0.723692048492048,0.45879971248369983,0.3017719192509834,0.4776325606729778,0.736640967027472,0.7471469906929499,0.743422506732826,0.7747179495544143,0.7995197334546513,0.8241480552889695,0.8593879502210511,0.885904090949419,0.8971014588075538
0.34409816693031525,0.3691947708528578,0.3985052860612343,0.43110135818533973,0.5708034606658844,0.723692048492048,1.0,0.8798483361769391,0.427948202279253,0.5179588907534741,0.34531663004296864,0.35219994643350444,0.34977582637193055,0.37291560300929005,0.3918881633642621,0.41792692159812056,0.4623997790742482,0.54419413330751,0.7120462204773214
0.2382625898876518,0.24260547153062673,0.2530070398116551,0.26790834674599356,0.3436561959710207,0.45879971248369983,0.8798483361769391,1.0,0.674247766779976,0.5446487661195922,0.23850542434772887,0.23957891848639104,0.23944194137461566,0.2464847090633829,0.251673829539037,0.2645855732832599,0.2860828016527525,0.3612033855427394,0.5561249488099376
0.4693530379686341,0.446190122088932,0.42712049568275173,0.4092022867612387,0.34156449284597823,0.3017719192509834,0.427948202279253,0.674247766779976,1.0,0.6308390717952527,0.46835713720713823,0.4616675793096483,0.464442151039298,0.44884336021590826,0.43049538569506496,0.4219172473042441,0.40318167751722983,0.42689998980459126,0.48675241974729455
0.43086249118885417,0.43116589247566706,0.43716557510232074,0.4435746632624786,0.4617333510845554,0.4776325606729778,0.5179588907534741,0.5446487661195922,0.6308390717952527,1.0,0.4311057315834441,0.43169367815109627,0.43186591589761136,0.4363274390074372,0.43613633496621973,0.44320480041466065,0.451569285618296,0.477323262132036,0.5182825678787919
0.9999732589293844,0.9947080618517495,0.9855714720368643,0.9715322839899054,0.8740778789226712,0.736640967027472,0.34531663004296864,0.23850542434772887,0.46835713720713823,0.4311057315834441,1.0,0.9988179496846793,0.999400465808126,0.9939834763404877,0.9853785503882935,0.9765859055543773,0.952924989729625,0.9048438397201554,0.7960975485108089
0.9987512199030649,0.9962010291128047,0.9886585400613885,0.9762929493993029,0.8827046878670491,0.7471469906929499,0.35219994643350444,0.23957891848639104,0.4616675793096483,0.43169367815109627,0.9988179496846793,1.0,0.9984939767180273,0.9947094045951004,0.9884539417890479,0.9797035179749198,0.9580024546617205,0.9105873738268226,0.8024463501521909
0.9992596378751606,0.995122695552241,0.9873839532425968,0.9743172213300975,0.8794594085684951,0.743422506732826,0.34977582637193055,0.23944194137461566,0.464442151039298,0.43186591589761136,0.999400465808126,0.9984939767180273,1.0,0.9951105381878496,0.9873178357803579,0.9788675747648459,0.9561580909457926,0.908489800161487,0.7999874556064662
0.9936178049573069,0.9948685825627899,0.9928337253746075,0.9842721476973144,0.9037700739534461,0.7747179495544143,0.37291560300929005,0.2464847090633829,0.44884336021590826,0.4363274390074372,0.9939834763404877,0.9947094045951004,0.9951105381878496,1.0,0.9918340109362702,0.988833555530478,0.9707862005642387,0.9256847819405661,0.8192887658664006
0.9847720582482652,0.990908218336043,0.9936624180298734,0.9896438140095006,0.9220934282630379,0.7995197334546513,0.3918881633642621,0.251673829539037,0.43049538569506496,0.43613633496621973,0.9853785503882935,0.9884539417890479,0.9873178357803579,0.9918340109362702,1.0,0.9901786436429358,0.9806056459041528,0.9374532565894748,0.8323970827624925
0.9758858114893504,0.9848283452186238,0.9905100314493352,0.989804067688624,0.9364898068948293,0.8241480552889695,0.41792692159812056,0.2645855732832599,0.4219172473042441,0.44320480041466065,0.9765859055543773,0.9797035179749198,0.9788675747648459,0.988833555530478,0.9901786436429358,1.0,0.9840077802849831,0.9497929549259234,0.8480373090140364
0.9519568180206256,0.9662984373700971,0.9775386728705817,0.9828350347134741,0.9526932980666184,0.8593879502210511,0.4623997790742482,0.2860828016527525,0.40318167751722983,0.451569285618296,0.952924989729625,0.9580024546617205,0.9561580909457926,0.9707862005642387,0.9806056459041528,0.9840077802849831,1.0,0.9685628712733281,0.8691737199784477
0.9037724687725295,0.9213919282230186,0.9369854495446492,0.9482018712284954,0.9473262207793839,0.885904090949419,0.54419413330751,0.3612033855427394,0.42689998980459126,0.477323262132036,0.9048438397201554,0.9105873738268226,0.908489800161487,0.9256847819405661,0.9374532565894748,0.9497929549259234,0.9685628712733281,1.0,0.9146061835373583
0.7949925448040562,0.8157204666783389,0.8356996040649075,0.8544106253488658,0.8972276674971718,0.8971014588075538,0.7120462204773214,0.5561249488099376,0.48675241974729455,0.5182825678787919,0.7960975485108089,0.8024463501521909,0.7999874556064662,0.8192887658664006,0.8323970827624925,0.8480373090140364,0.8691737199784477,0.9146061835373583,1.0
